Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2023|BBYB|EQUITY|12038815679|600|115707066|5157413608|31014464|3469000|2578270478|658878273|61071525|5742429|227593429|8839160272|5940288|1746725782|91658501|62992092|46839777|211009744|141993921|0|730248892|3037408997
31-MAR-2023|BCAP|EQUITY|42618850927|63|20852200|21841806520|0|0|4556244476|402422700|65463263|0|19607900|26906397059|0|6456193646|4165100|250582500|17031000|41732200|2878381963|0|6064367459|15712453868
31-MAR-2023|BCIC|EQUITY|18109922009|111|0|2280136|0|7192|279312856|205|1832812|0|39|283433240|0|3981865771|0|234321|517993|0|1044807|0|20830|3983683722
31-MAR-2023|BCIP|EQUITY|1429915525|59|18000000|659308634|44057000|0|585795191|72547510|200000|0|90|1379908425|0|7900000|0|65000|24042000|17500000|500100|0|0|50007100
31-MAR-2023|BDKR|EQUITY|4707100000|256|0|53204400|0|0|411846200|0|0|0|0|465050600|0|235694200|0|4794400|560800|0|0|0|0|241049400
31-MAR-2023|BDMN|EQUITY|9773552870|2870|13910741|178153012|13424010|12717|291441367|39400605|2512978|1391751|80900|540328081|1464461|4022443|17898698|9127047192|1053866|34318693|25530647|549461|17893000|9229778461
31-MAR-2023|BEBS|EQUITY|45000000000|595|0|18467094330|0|0|21755058570|0|58872831|0|0|40281025731|20163000|982479700|68450300|2544880365|1861000|369373894|568433015|0|163332995|4718974269
31-MAR-2023|BEEF|EQUITY|1884312595|85|0|102660238|4500000|279095452|714704705|400000|0|100000|0|1101460395|0|590005000|0|42100|1092100|0|8521700|0|178711300|778372200
31-MAR-2023|BEER|EQUITY|4000000000|348|0|262501200|3055000|0|192175900|338562300|0|0|0|796294400|0|242800|0|3346200|96600|0|20000|0|0|3705600
31-MAR-2023|BEKS|EQUITY|51870438266|50|1513980|34355351025|1439450|41600|14553522554|337222476|235154426|409940|938934248|50423589699|0|3847179|0|868749607|36542510|0|18949839|0|55049|928144184
31-MAR-2023|BELI|EQUITY|118493291840|462|878500|15966949700|7431500|0|2204701300|479759900|33444500|3800000|2200400|18699165800|0|192581700|8816340|119530226|1605300|16563938|108000|0|299620696|638826200
31-MAR-2023|BELL|EQUITY|7250000000|141|0|5714093700|0|0|185549700|879507200|378554000|114500|0|7157819100|0|202300|0|85279600|703300|0|5995700|0|0|92180900
31-MAR-2023|BESS|EQUITY|3440455528|162|0|555322933|0|0|185083995|0|0|0|0|740406928|0|0|0|100|48500|0|0|0|0|48600
31-MAR-2023|BEST|EQUITY|9647311150|128|307016200|4843651300|11166200|0|2944953311|28181100|120698349|152000|0|8255818460|7240096|967694700|63209409|78896314|20542400|82338300|58387990|45205700|60977781|1384492690
31-MAR-2023|BFIN|EQUITY|15967115620|1315|470243400|1267176280|99531400|176360|2484653088|477495821|2386188|8097900|129432180|4939192617|8439100|244113550|116471292|807663334|2852660|1610649667|237270158|352700|7983065902|11010878363
31-MAR-2023|BGTG|EQUITY|23970997103|69|0|8325544275|0|0|2509958983|0|500081|2764600|0|10838767939|0|2402279800|0|145237900|791923|18768500|1830667691|0|1249350|4398995164
31-MAR-2023|BHAT|EQUITY|5000000000|775|493216000|3468205500|600000|0|89480400|349699800|132324000|2100000|0|4535625700|0|0|0|11209100|48300|3116300|600|0|0|14374300
31-MAR-2023|BHIT|EQUITY|86068156705|55|24252800|7403074153|5030000|1000|18713654596|208123160|2042848278|2000|46800|28397032787|0|41228148844|32518600|1671755916|20871540|428642766|1956280963|143621620|12189273669|57671113918
31-MAR-2023|BIKA|EQUITY|592280000|84|0|0|0|0|591664700|0|0|0|438900|592103600|0|700|0|62100|13500|0|100|0|0|76400
31-MAR-2023|BIKE|EQUITY|1293357188|212|0|190501700|0|0|130798588|0|100|100|0|321300488|0|0|0|777000|180100|0|1099600|0|0|2056700
31-MAR-2023|BIMA|EQUITY|608175716|70|570000|14317500|0|0|51724380|0|19820200|0|0|86432080|0|0|0|16500|23500|0|0|0|0|40000
31-MAR-2023|BINA|EQUITY|6134716665|4020|1907731985|2274085251|42037000|0|67993233|75342600|57052487|0|5549500|4429792056|47800|6814900|139700|4666642|265000|594568750|1036711550|0|363100|1643577442
31-MAR-2023|BINO|EQUITY|2175015754|128|0|14241600|0|0|417637004|0|50|0|3017800|434896454|0|0|0|100|119200|0|0|0|0|119300
31-MAR-2023|BIPI|EQUITY|57918360917|150|2299283843|22699687447|1160000|576053912|14161339049|1019964900|4923026336|10553000|1253000006|46944068493|254426600|2168464340|67059900|3208587366|63261600|949936492|80974275|0|4181581851|10974292424
31-MAR-2023|BIPP|EQUITY|5028669376|50|138171000|366940100|21000300|1604280|835849856|9410000|10583220|0|7055000|1390613756|0|3484676395|0|630400|129222400|0|526500|0|0|3615055695
31-MAR-2023|BIRD|EQUITY|2502100000|1745|30956300|453612195|15941300|0|763919582|54492700|866781|2530300|18|1322319176|17633000|60050619|12505146|35100721|688000|31296879|15054446|468100|16963913|189760824
31-MAR-2023|BISI|EQUITY|3000000000|1705|1813600|49451000|0|0|101003538|33440200|453094|0|0|186161432|61000|21881740|1245600|764010293|31474541|21502157|65519648|809297|283021792|1189526068
31-MAR-2023|BJBR|EQUITY|10521443686|1360|962868400|22728870|10223735|12334800|870518477|102027812|31595307|2027500|27042349|2041367250|2543303|23315678|92871939|36474604|215200|216324371|74654104|955750|84128156|531483105
31-MAR-2023|BJTM|EQUITY|15015498082|735|432107300|61542087|8567700|727500|1426084607|22312805|126473013|1257900|0|2079072912|8170600|28632374|125566408|30485866|971200|522169694|40231304|33247731|212802011|1002277188
31-MAR-2023|BKDP|EQUITY|7513992252|64|0|2604842600|0|0|1604312385|47057750|90050|0|13499400|4269802185|0|0|0|100|44181267|0|8700|0|0|44190067
31-MAR-2023|BKSL|EQUITY|167708902705|50|354400|3593987466|20211900|30|15351482894|96900000|171612054|5800|111538300|19346092844|0|552766444|0|782929891|63015900|677675074|97564422|0|1481326180|3655277911
31-MAR-2023|BKSW|EQUITY|20436685984|89|0|236793018|0|0|547374377|289396400|22500|0|100|1073586395|0|0|0|18948792308|131694|0|41300|0|413877559|19362842861
31-MAR-2023|BLTA|EQUITY|25181143017|50|29836312|4529104331|122643040|470678|4495004306|703000098|338713365|9884416|12287400|10240943946|0|802951448|701593424|1887940057|368404866|59772609|1551355287|0|325338632|5697356323
31-MAR-2023|BLTZ|EQUITY|873937142|2520|0|54600|0|0|1988450|0|0|0|8500|2051550|0|0|0|76216900|21800|0|0|0|795283292|871521992
31-MAR-2023|BLUE|EQUITY|418000000|286|0|129043900|0|0|20250500|0|18474500|0|0|167768900|0|0|0|100|195500|0|0|0|35500|231100
31-MAR-2023|BMAS|EQUITY|8620315383|1400|0|2775896371|0|0|24868329|806000|0|0|0|2801570700|0|5374811075|0|443919208|2600|0|11800|0|0|5818744683
31-MAR-2023|BMBL|EQUITY|1030000000|72|0|12213600|0|0|267499800|0|46300|15800|0|279775500|0|0|0|100|224400|0|0|0|0|224500
31-MAR-2023|BMHS|EQUITY|8603416176|388|446544300|4997089200|48628800|0|1709326400|130026900|650000|3942300|0|7336207900|0|1163470776|0|5247800|2967200|26100|5496400|0|0|1177208276
31-MAR-2023|BMRI|EQUITY|46666666666|10325|1164843972|34134390|232892382|30753084|620657735|1009484420|11085809|34928298|3734662473|6873442563|562498760|633556036|2053294962|1565796759|2105876|6374979387|800759260|40816162|3492750234|15526557436
31-MAR-2023|BMSR|EQUITY|1159200024|665|74243200|89176100|37150000|0|93298592|1916000|15839300|0|0|311623192|0|51380400|0|16600|50077500|0|135000|0|745842332|847451832
31-MAR-2023|BMTR|EQUITY|16583997586|276|114090100|7114474140|2030050|0|6139087468|58190959|1073926512|5055400|3016300|14509870929|29|519633297|53415565|257912763|12968570|456302921|605229446|0|163975246|2069437837
31-MAR-2023|BNBA|EQUITY|3388000000|660|8144932|1179018581|0|0|203730480|0|405|0|0|1390894398|0|0|0|12657300|968200|1080500|10327640|0|455032|25488672
31-MAR-2023|BNBR|EQUITY|22084484209|56|355441137|6876977567|30382150|173975|5814633313|885137840|2349987354|200100|5000218|16317933654|0|123154996|0|2971560959|65127869|3|104123822|0|1509717295|4773684944
31-MAR-2023|BNGA|EQUITY|25131606843|1270|70451137|54716812|4159550|197485162|763459052|57248461|13510327|1709343|69089|1162808933|332457|2246875|39444015|23091787766|9497006|140746368|71547604|1407000|339477256|23696486347
31-MAR-2023|BNII|EQUITY|76215195821|230|6563|2132348|0|505626|566777990|0|4137906|5131|464532|574030096|0|1815542|3105005|14299121133|5340446|25901802|99212660|363900|61508545|14496369033
31-MAR-2023|BNLI|EQUITY|36181359520|950|9688|1636339|49991|48638|77679679|628894|139799|0|8759099|88952127|0|552|0|35726272334|468785|207270|950777|0|886875|35728786593
31-MAR-2023|BOBA|EQUITY|1155750000|177|0|274520000|0|0|506849700|0|0|0|0|781369700|0|50775000|0|75100|67530200|0|0|0|0|118380300
